,Play,Ball Time,Dist From Home
0,1900_02_TeamKJ_TeamB 34,993102,125.6149001991404
1,1900_02_TeamKJ_TeamB 101,3410199,83.20671690656951
2,1900_02_TeamKJ_TeamB 101,3410232,83.12030430285971
3,1900_02_TeamKJ_TeamB 101,3410265,83.13084140371731
4,1900_02_TeamKJ_TeamB 121,4178162,183.51790994764545
5,1900_02_TeamKJ_TeamB 121,4178195,184.0715494838287
6,1900_05_TeamKK_TeamB 26,1027375,232.29312889891943
7,1900_05_TeamKK_TeamB 171,6537249,325.1430724106543
8,1900_06_TeamKL_TeamB 55,1396956,294.90302022843036
9,1900_06_TeamKL_TeamB 55,1396989,295.8303490992769
10,1900_08_TeamKL_TeamB 161,5798450,156.3645236237427
11,1900_09_TeamKK_TeamB 130,4614738,384.05944520640287
12,1901_02_TeamLG_TeamA3 268,10361240,228.2171228479581
13,1901_04_TeamLI_TeamA3 283,9423160,369.4666477088426
14,1901_05_TeamLI_TeamA3 225,7619948,343.6285845717873
15,1901_06_TeamLI_TeamA3 106,3605831,285.9321273236885
16,1901_07_TeamLK_TeamB 23,709153,243.27284161584907
17,1901_07_TeamLK_TeamB 101,3441001,183.14580871518737
18,1901_09_TeamLK_TeamB 268,9960176,303.6719586435995
19,1901_11_TeamLJ_TeamB 19,463946,270.0852269363321
20,1901_12_TeamLJ_TeamB 110,3745493,82.67766153550788
21,1901_12_TeamLJ_TeamB 128,4368843,343.91056061226146
22,1901_12_TeamLJ_TeamB 194,6672641,244.08135991842573
23,1901_13_TeamLL_TeamB 21,684075,368.54579024079214
24,1901_13_TeamLL_TeamB 145,4605921,208.61073151326613
25,1901_13_TeamLL_TeamB 148,4713321,234.28454730476784
26,1901_16_TeamLH_TeamA3 234,8154069,195.6006482611957
27,1901_17_TeamLH_TeamA3 76,2265888,396.05559585428153
28,1901_17_TeamLH_TeamA3 168,5498235,298.7674346787146
29,1901_17_TeamLH_TeamA3 243,8321782,250.15556550916472
30,1901_18_TeamLH_TeamA3 21,624053,242.30727063834385
31,1901_18_TeamLH_TeamA3 127,4192299,179.61913049115898
32,1901_18_TeamLH_TeamA3 132,4343449,249.62643897993837
33,1902_01_TeamMG_TeamA3 135,4209543,264.74089687874067
34,1902_01_TeamMG_TeamA3 184,5826593,282.5854839026591
35,1902_02_TeamMG_TeamA3 114,3886919,232.46758494699858
36,1902_02_TeamMG_TeamA3 140,4961669,253.81774136519695
37,1902_02_TeamMG_TeamA3 266,9044169,311.1003722926895
38,1902_03_TeamMG_TeamA3 160,5279096,265.2176061836205
39,1902_03_TeamMG_TeamA3 207,7374896,306.56517733509787
40,1902_03_TeamMG_TeamA3 264,9511846,212.11788187900638
41,1902_04_TeamML_TeamB 91,2680384,239.7175999905931
42,1902_04_TeamML_TeamB 279,9284134,241.39719316918328
43,1902_05_TeamML_TeamB 104,10838479,94.1582550225948
44,1902_05_TeamML_TeamB 186,13902329,339.24333554811363
45,1902_05_TeamML_TeamB 254,16273979,307.7881258716944
46,1902_06_TeamML_TeamB 99,3351374,133.94999087637146
47,1902_06_TeamML_TeamB 170,5881724,257.29920794968825
48,1902_06_TeamML_TeamB 210,7315774,244.6695975521683
49,1902_07_TeamMJ_TeamB 43,1466202,333.3705472695661
50,1902_07_TeamMJ_TeamB 162,5832402,277.8182288922021
51,1902_07_TeamMJ_TeamB 208,7760552,246.68788867246806
52,1902_09_TeamMJ_TeamB 141,5124355,243.8320785575393
53,1902_09_TeamMJ_TeamB 142,5348305,298.35026560018343
54,1902_10_TeamMI_TeamA3 147,5156631,248.354216703965
55,1902_12_TeamMI_TeamA3 105,3496754,317.6632401815482
56,1902_13_TeamMD_TeamA2 36,1398980,269.851214894875
57,1902_13_TeamMD_TeamA2 189,6705480,285.44942257823885
58,1902_13_TeamMK_TeamB 62,2277160,245.85072200870187
59,1902_13_TeamMK_TeamB 127,4491110,178.94952809258817
60,1902_13_TeamMK_TeamB 129,4561410,325.53101688049634
61,1902_13_TeamMK_TeamB 191,6901860,247.82426965485038
62,1902_14_TeamMD_TeamA2 21,632947,165.57175562667686
63,1902_14_TeamMD_TeamA2 21,632997,167.28739101274192
64,1902_14_TeamMK_TeamB 211,6831185,264.76147772757656
65,1902_14_TeamMK_TeamB 275,8981685,91.28520917281672
66,1902_14_TeamMK_TeamB 275,8981735,89.89002160067601
67,1902_15_TeamMK_TeamB 167,5567114,291.0203747414603
68,1902_16_TeamMD_TeamA2 240,8360816,273.4106089038975
69,1902_17_TeamMB_TeamA1 20,606684,260.2718635617957
70,1902_18_TeamMB_TeamA1 123,4429704,404.76415761292355
71,1902_19_TeamME_TeamA2 37,1156702,324.8175249060463
72,1902_19_TeamME_TeamA2 46,1595752,248.0275701068484
73,1902_19_TeamME_TeamA2 58,2176352,359.55746508846124
74,1902_19_TeamME_TeamA2 87,3040652,204.52019289510264
75,1902_19_TeamME_TeamA2 91,3212402,328.2150819390236
76,1902_20_TeamME_TeamA2 29,924728,270.5298244027819
77,1902_20_TeamME_TeamA2 163,5821178,291.1174444526642
78,1902_22_TeamMA_TeamA1 72,2544490,238.67117889827
79,1902_22_TeamMA_TeamA1 217,7604940,236.85307314016427
80,1902_23_TeamMA_TeamA1 211,7427588,145.29019859260433
81,1902_24_TeamMA_TeamA1 250,8557285,252.22267074606913
82,1902_25_TeamMH_TeamA3 102,3168062,286.6212782416023
83,1902_25_TeamMH_TeamA3 198,6449462,188.01541055498615
84,1902_26_TeamMC_TeamA1 156,5254777,269.6840031845419
85,1902_26_TeamMC_TeamA1 176,6189727,167.79010409776853
86,1902_26_TeamMH_TeamA3 114,3584856,241.61710031777554
87,1902_26_TeamMH_TeamA3 239,7986158,137.10105688936173
88,1902_26_TeamMH_TeamA3 270,9235058,322.35291109862806
89,1902_26_TeamMH_TeamA3 324,11157708,239.32064703265553
90,1902_27_TeamMH_TeamA3 258,8698272,175.02379016867965
91,1902_27_TeamMH_TeamA3 268,9021672,311.57471376740443
92,1902_27_TeamMH_TeamA3 268,9021722,309.49546519230296
93,1902_28_TeamMC_TeamA1 37,1277405,222.81699892299508
94,1902_28_TeamMC_TeamA1 52,1885655,290.0144881634192
95,1902_28_TeamMC_TeamA1 223,8227555,254.5483676857061
96,1902_28_TeamMC_TeamA1 224,8289405,268.80500083378286
97,1902_30_TeamMF_TeamA2 93,2886679,233.58349334017592
98,1902_30_TeamMF_TeamA2 96,2989679,253.64807494278838
99,1902_30_TeamMF_TeamA2 164,5561029,234.53891246198359
100,1902_31_TeamMF_TeamA2 117,3406596,320.53951051719037
101,1902_31_TeamMF_TeamA2 234,7544196,240.92158701822467
102,1903_01_TeamNE_TeamA2 220,7049097,320.59341358798997
103,1903_01_TeamNE_TeamA2 249,8144896,348.643275359844
104,1903_01_TeamNE_TeamA2 249,8144929,345.2506062798587
105,1903_01_TeamNE_TeamA2 310,10343424,328.1429479276524
106,1903_01_TeamNE_TeamA2 310,10343457,327.84650679844066
107,1903_06_TeamND_TeamA2 212,7127024,278.3470872860896
108,1903_07_TeamND_TeamA2 205,6438873,259.4979656509276
109,1903_07_TeamND_TeamA2 312,10337023,279.9372636963504
110,1903_09_TeamNJ_TeamB 220,8560015,12.669368525779019
111,1903_09_TeamNJ_TeamB 257,9927265,131.5784283572349
112,1903_10_TeamNJ_TeamB 15,541739,322.0442018279633
113,1903_10_TeamNJ_TeamB 245,8577772,245.28755001556928
114,1903_11_TeamNC_TeamA1 124,9545986,349.56264267847615
115,1903_11_TeamNC_TeamA1 166,10998236,260.46505931679206
116,1903_11_TeamNC_TeamA1 197,12096786,272.0886223095887
