"...1","...2","game_str","play_id","timestamp","p_field_x","p_field_y","c_field_x","c_field_y","1b_field_x","1b_field_y","2b_field_x","2b_field_y","3b_field_x","3b_field_y","ss_field_x","ss_field_y","lf_field_x","lf_field_y","cf_field_x","cf_field_y","rf_field_x","rf_field_y","bat_field_x","bat_field_y","run1b_field_x","run1b_field_y","run2b_field_x","run2b_field_y","run3b_field_x","run3b_field_y","ball_position_x","ball_position_y","ball_position_z","at_bat.x","play_per_game","event_player","event_code","home_team","away_team","at_bat.y","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner","team_bat","team_fld","game_play","ball_pos_x_3","ball_pos_x_2","ball_pos_y_2","ball_pos_y_3","ball_pos_z_2","ball_pos_z_3","timestamp3","timestamp2","ball_distance_xy","ball_distance_delta","time_diff","exit_velo","launch_angle","spray_angle","to_base","""game_play""","binary","what_to_track","catch","ball_height","next_ball_position_x","next_ball_position_y","next_ball_position_z","fielder_col_name_x","fielder_col_name_y","current_fielder_pos_x","current_fielder_pos_y","current_fielding_pos_z","fielder_dist_from_ball","momentumx","momentumy","binary2"
122,13673,"1900_02_TeamKJ_TeamB",8,294053,-12.003,21.4668,-0.0576,1.5306,25.7646,71.8677,42.759,114.6708,-66.3114,72.8253,-16.8837,128.7171,-114.0018,249.4524,9.0201,252.3918,86.442,277.6875,45.507,39.27,12.4974,119.4072,-62.7546,62.3844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4808064509776,"game_play",0,"CF",NA,NA,NA,NA,NA,"cf_field_x","cf_field_y",9.0201,252.3918,6,NA,-0.117899999999999,1.68540000000002,0
361,14595,"1900_02_TeamKJ_TeamB",34,993102,-1.3806,46.83,5.5929,-4.6224,60.8019,83.6601,27.8403,139.3464,-69.7449,79.2306,-64.7784,149.4519,-140.7903,241.6824,-32.2623,285.1917,94.9791,247.0119,26.9097,20.2995,-1.5093,125.823,-60.7986,62.6082,-8.5677,5.0283,-67.269,106.0848,177.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.909234070411,"game_play",0,"LF",NA,NA,-67.8204,106.6893,178.1367,"lf_field_x","lf_field_y",-140.7903,241.6824,6,154.246849820183,0.272099999999995,1.19309999999999,0
623,18418,"1900_02_TeamKJ_TeamB",101,3410199,-22.9353,60.6489,NA,NA,60.0015,64.4343,-2.2395,130.7757,-63.3663,74.5875,-20.379,86.9232,-104.9841,226.3518,-20.8203,261.3777,108.5811,215.4732,53.6463,54.6228,-0.156,124.7217,-61.1847,62.9547,NA,NA,45.3486,69.7629,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5566390220473,"game_play",0,"just ball",NA,NA,47.6538,68.1036,0,NA,NA,NA,NA,6,NA,NA,NA,0
624,18419,"1900_02_TeamKJ_TeamB",101,3410232,-22.9989,60.651,NA,NA,59.8605,64.4118,-2.316,130.6944,-63.2895,74.4996,-20.3661,86.3385,-104.8593,225.9057,-20.9631,260.9319,108.7584,214.9365,54.3462,55.2054,-0.4617,124.8159,-61.1844,62.6247,NA,NA,47.6538,68.1036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6466322857726,"game_play",0,"just ball",NA,NA,49.9593,66.444,0,NA,NA,NA,NA,6,NA,NA,NA,0
625,18420,"1900_02_TeamKJ_TeamB",101,3410265,-23.0601,60.6474,NA,NA,59.7234,64.3983,-2.3865,130.6185,-63.2136,74.4099,-20.3649,85.7583,-104.7366,225.4593,-21.1068,260.4876,108.9426,214.3998,55.044,55.7829,-0.7671,124.9101,-61.1727,62.2995,NA,NA,49.9593,66.444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7417162692933,"game_play",0,"just ball",NA,NA,52.2645,64.7847,0,NA,NA,NA,NA,6,NA,NA,NA,0
920,19373,"1900_02_TeamKJ_TeamB",121,4178162,-7.2738,40.8699,-0.588,-3.2916,59.3949,65.6847,10.0881,134.7132,-53.0352,63.9711,10.7106,182.4087,-90.4953,249.0354,-5.8731,234.9423,71.8176,267.5946,51.15,47.3454,NA,NA,-61.4943,62.5917,-0.8379,0.8661,6.67161,183.3966,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6338738194988,"game_play",0,"SS",NA,NA,6.98424,183.939,0,"ss_field_x","ss_field_y",10.7106,182.4087,6,4.15805082100977,-0.481199999999999,-2.1123,1
921,19374,"1900_02_TeamKJ_TeamB",121,4178195,-7.3707,40.7781,-0.5976,-3.249,59.2491,65.7657,9.852,134.535,-53.1018,63.9828,10.8438,183.0963,-90.2064,249.009,-5.6916,234.2874,71.4915,267.5541,51.7524,47.9031,NA,NA,-61.4967,62.0091,-0.2766,0.3252,6.98424,183.939,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8261758031205,"game_play",0,"SS",NA,NA,7.23447,184.5363,0,"ss_field_x","ss_field_y",10.8438,183.0963,6,3.9504868919666,-0.4398,-2.08890000000002,1
1234,23162,"1900_02_TeamKJ_TeamB",196,6952770,-3.4386,40.7424,NA,NA,59.0886,64.7139,5.6247,132.6204,-39.4629,58.4511,-67.8834,133.5849,-95.7372,195.0003,2.8119,277.1379,125.3319,219.0546,40.1283,35.2788,10.3209,122.1669,-60.4017,62.9136,-13.4439,12.8748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9385529804693,"game_play",0,"LF",NA,NA,NA,NA,NA,"lf_field_x","lf_field_y",-95.7372,195.0003,6,NA,-0.563999999999993,1.21109999999999,0
1235,23163,"1900_02_TeamKJ_TeamB",196,6952803,-3.2244,40.2252,NA,NA,58.8735,64.6032,5.3313,132.5214,-39.0597,58.3317,-67.8792,133.5765,-95.5323,194.601,2.7693,276.963,125.2773,218.6844,40.7217,35.8047,9.6762,122.5101,-60.4158,62.0232,-12.9123,12.3375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_02_TeamKJ_TeamB 196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1554688914826,"game_play",0,"LF",NA,NA,NA,NA,NA,"lf_field_x","lf_field_y",-95.5323,194.601,6,NA,-0.588899999999995,1.20420000000001,0
1473,52385,"1900_05_TeamKK_TeamB",26,1027375,18.0204,20.0397,NA,NA,45.1539,69.7197,19.365,142.9176,-64.4313,80.6079,-29.3631,136.6914,-114.789,224.1759,-5.2668,297.8373,80.7921,206.5665,44.988,31.4181,NA,NA,-60.9186,62.8074,NA,NA,74.9406,219.8727,0,NA,26,"RF","ball acquired","TeamB","TeamKK",NA,1,"Bottom",7119,3304,9545,4140,9752,6861,6279,6608,6188,1201,0,0,0,"TeamB","TeamKK","1900_05_TeamKK_TeamB 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3572352030514,"game_play",0,"RF",NA,NA,NA,NA,NA,"rf_field_x","rf_field_y",80.7921,206.5665,6,14.5359901860864,0.719999999999999,1.47630000000001,0
