game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,game and play
1901_01_TeamLG_TeamA3,64,NA,64,2156425,1,6,1901_01_TeamLG_TeamA364
1901_01_TeamLG_TeamA3,64,NA,64,2157125,3,2,1901_01_TeamLG_TeamA364
1901_01_TeamLG_TeamA3,64,NA,64,2157125,0,5,1901_01_TeamLG_TeamA364
1901_01_TeamLG_TeamA3,70,NA,70,2289475,1,6,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,70,NA,70,2290075,3,2,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,70,NA,70,2293075,3,3,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,70,NA,70,2293625,6,2,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,70,NA,70,2295625,6,3,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,70,NA,70,2296575,1,2,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,70,NA,70,2298075,0,5,1901_01_TeamLG_TeamA370
1901_01_TeamLG_TeamA3,159,NA,159,5352422,1,6,1901_01_TeamLG_TeamA3159
1901_01_TeamLG_TeamA3,159,NA,159,5352972,0,5,1901_01_TeamLG_TeamA3159
1901_01_TeamLG_TeamA3,159,NA,159,5352972,3,2,1901_01_TeamLG_TeamA3159
1901_01_TeamLG_TeamA3,216,NA,216,7115870,1,6,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7116520,255,16,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7117370,255,16,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7118020,255,16,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7118420,255,16,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7118720,255,16,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7119020,255,16,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7120370,8,2,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7121970,8,3,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7122820,6,2,1901_01_TeamLG_TeamA3216
1901_01_TeamLG_TeamA3,216,NA,216,7124470,0,5,1901_01_TeamLG_TeamA3216
1901_02_TeamLG_TeamA3,98,NA,98,4211096,1,6,1901_02_TeamLG_TeamA398
1901_02_TeamLG_TeamA3,98,NA,98,4211596,255,16,1901_02_TeamLG_TeamA398
1901_02_TeamLG_TeamA3,98,NA,98,4211696,3,2,1901_02_TeamLG_TeamA398
1901_02_TeamLG_TeamA3,98,NA,98,4211996,0,5,1901_02_TeamLG_TeamA398
1901_02_TeamLG_TeamA3,113,NA,113,4799146,1,6,1901_02_TeamLG_TeamA3113
1901_02_TeamLG_TeamA3,114,NA,114,4818596,1,6,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4819096,3,2,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4821046,3,3,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4821646,6,2,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4822896,6,3,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4823496,3,2,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4825146,3,3,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4825796,4,2,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,114,NA,114,4828496,0,5,1901_02_TeamLG_TeamA3114
1901_02_TeamLG_TeamA3,131,NA,131,5346595,1,6,1901_02_TeamLG_TeamA3131
1901_02_TeamLG_TeamA3,131,NA,131,5347245,3,2,1901_02_TeamLG_TeamA3131
1901_02_TeamLG_TeamA3,131,NA,131,5347795,0,5,1901_02_TeamLG_TeamA3131
1901_02_TeamLG_TeamA3,133,NA,133,5383545,1,6,1901_02_TeamLG_TeamA3133
1901_02_TeamLG_TeamA3,133,NA,133,5384145,3,2,1901_02_TeamLG_TeamA3133
1901_02_TeamLG_TeamA3,133,NA,133,5384595,0,5,1901_02_TeamLG_TeamA3133
1901_02_TeamLG_TeamA3,146,NA,146,6031145,1,6,1901_02_TeamLG_TeamA3146
1901_02_TeamLG_TeamA3,146,NA,146,6031745,3,2,1901_02_TeamLG_TeamA3146
1901_02_TeamLG_TeamA3,146,NA,146,6032045,0,5,1901_02_TeamLG_TeamA3146
1901_02_TeamLG_TeamA3,171,NA,171,6844644,1,6,1901_02_TeamLG_TeamA3171
1901_02_TeamLG_TeamA3,171,NA,171,6845294,3,2,1901_02_TeamLG_TeamA3171
1901_02_TeamLG_TeamA3,171,NA,171,6845744,0,5,1901_02_TeamLG_TeamA3171
1901_02_TeamLG_TeamA3,208,NA,208,8225642,1,6,1901_02_TeamLG_TeamA3208
1901_02_TeamLG_TeamA3,208,NA,208,8226242,3,2,1901_02_TeamLG_TeamA3208
1901_02_TeamLG_TeamA3,208,NA,208,8226492,0,5,1901_02_TeamLG_TeamA3208
1901_02_TeamLG_TeamA3,269,NA,269,10412490,1,6,1901_02_TeamLG_TeamA3269
1901_02_TeamLG_TeamA3,269,NA,269,10413090,3,2,1901_02_TeamLG_TeamA3269
1901_02_TeamLG_TeamA3,269,NA,269,10413440,0,5,1901_02_TeamLG_TeamA3269
1901_03_TeamLG_TeamA3,3,NA,3,93248,1,6,1901_03_TeamLG_TeamA33
1901_03_TeamLG_TeamA3,3,NA,3,93748,3,2,1901_03_TeamLG_TeamA33
1901_03_TeamLG_TeamA3,3,NA,3,93748,0,5,1901_03_TeamLG_TeamA33
1901_03_TeamLG_TeamA3,8,NA,8,217848,1,6,1901_03_TeamLG_TeamA38
1901_03_TeamLG_TeamA3,8,NA,8,218348,3,2,1901_03_TeamLG_TeamA38
1901_03_TeamLG_TeamA3,8,NA,8,218598,0,5,1901_03_TeamLG_TeamA38
1901_03_TeamLG_TeamA3,11,NA,11,307848,1,6,1901_03_TeamLG_TeamA311
1901_03_TeamLG_TeamA3,11,NA,11,308398,3,2,1901_03_TeamLG_TeamA311
1901_03_TeamLG_TeamA3,11,NA,11,308598,0,5,1901_03_TeamLG_TeamA311
1901_03_TeamLG_TeamA3,53,NA,56,1738778,1,6,1901_03_TeamLG_TeamA353
1901_03_TeamLG_TeamA3,53,NA,56,1739378,0,5,1901_03_TeamLG_TeamA353
1901_03_TeamLG_TeamA3,53,NA,56,1739378,3,2,1901_03_TeamLG_TeamA353
1901_03_TeamLG_TeamA3,57,NA,60,1840978,1,6,1901_03_TeamLG_TeamA357
1901_03_TeamLG_TeamA3,57,NA,60,1841528,3,2,1901_03_TeamLG_TeamA357
1901_03_TeamLG_TeamA3,57,NA,60,1841778,0,5,1901_03_TeamLG_TeamA357
1901_03_TeamLG_TeamA3,212,NA,225,8072654,1,6,1901_03_TeamLG_TeamA3212
1901_03_TeamLG_TeamA3,212,NA,225,8073204,255,16,1901_03_TeamLG_TeamA3212
1901_03_TeamLG_TeamA3,212,NA,225,8073304,3,2,1901_03_TeamLG_TeamA3212
1901_03_TeamLG_TeamA3,212,NA,225,8073654,0,5,1901_03_TeamLG_TeamA3212
1901_03_TeamLG_TeamA3,214,NA,227,8125954,1,6,1901_03_TeamLG_TeamA3214
1901_03_TeamLG_TeamA3,214,NA,227,8126554,3,2,1901_03_TeamLG_TeamA3214
1901_03_TeamLG_TeamA3,214,NA,227,8126954,0,5,1901_03_TeamLG_TeamA3214
1901_05_TeamLI_TeamA3,6,NA,6,160155,1,6,1901_05_TeamLI_TeamA36
